GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US53577,53577,ZCTA5 53577,561,53,58125,11008
8600000US53578,53578,ZCTA5 53578,2495,154,64300,3553
8600000US53579,53579,ZCTA5 53579,840,62,48030,4294
8600000US53580,53580,ZCTA5 53580,247,45,37361,7659
8600000US53581,53581,ZCTA5 53581,4639,147,45038,3400
8600000US53582,53582,ZCTA5 53582,437,52,58188,6721
8600000US53583,53583,ZCTA5 53583,2405,156,49599,6901
8600000US53585,53585,ZCTA5 53585,791,75,43850,5421
8600000US53586,53586,ZCTA5 53586,923,53,45433,4078
8600000US53587,53587,ZCTA5 53587,489,40,46750,3893
8600000US53588,53588,ZCTA5 53588,1648,87,57500,3324
8600000US53589,53589,ZCTA5 53589,8174,273,65461,3873
8600000US53590,53590,ZCTA5 53590,13717,349,69902,3136
8600000US53593,53593,ZCTA5 53593,7182,301,86516,6870
8600000US53594,53594,ZCTA5 53594,2040,117,54324,4359
8600000US53597,53597,ZCTA5 53597,6314,194,82669,4097
8600000US53598,53598,ZCTA5 53598,1085,139,71354,10425
8600000US53599,53599,ZCTA5 53599,28,12,33750,28833
8600000US53702,53702,ZCTA5 53702,0,69,,
8600000US53703,53703,ZCTA5 53703,12781,499,26383,1991
8600000US53704,53704,ZCTA5 53704,20370,411,50819,2605
8600000US53705,53705,ZCTA5 53705,11347,307,62204,2696
8600000US53706,53706,ZCTA5 53706,64,63,47273,26890
8600000US53711,53711,ZCTA5 53711,18008,482,71260,2499
8600000US53713,53713,ZCTA5 53713,9155,471,35249,2922
8600000US53714,53714,ZCTA5 53714,7021,193,51941,2749
8600000US53715,53715,ZCTA5 53715,4402,245,26814,5863
8600000US53716,53716,ZCTA5 53716,8134,208,61482,4724
8600000US53717,53717,ZCTA5 53717,5622,254,71889,7298
8600000US53718,53718,ZCTA5 53718,5216,197,71426,5113
8600000US53719,53719,ZCTA5 53719,12578,435,67729,2749
8600000US53726,53726,ZCTA5 53726,2267,154,35703,9506
8600000US53792,53792,ZCTA5 53792,0,69,,
8600000US53801,53801,ZCTA5 53801,392,40,41711,4014
8600000US53802,53802,ZCTA5 53802,17,8,20625,8609
8600000US53803,53803,ZCTA5 53803,552,50,54063,8017
8600000US53804,53804,ZCTA5 53804,572,52,41442,3663
8600000US53805,53805,ZCTA5 53805,2008,138,45408,4026
8600000US53806,53806,ZCTA5 53806,768,57,41250,6398
8600000US53807,53807,ZCTA5 53807,1835,105,50694,5645
8600000US53808,53808,ZCTA5 53808,451,65,48355,9424
8600000US53809,53809,ZCTA5 53809,1537,84,46144,3445
8600000US53810,53810,ZCTA5 53810,190,29,40577,4242
8600000US53811,53811,ZCTA5 53811,1274,76,50909,4861
8600000US53813,53813,ZCTA5 53813,2378,117,45192,4932
8600000US53816,53816,ZCTA5 53816,311,37,46964,13361
8600000US53817,53817,ZCTA5 53817,96,25,48214,7316
8600000US53818,53818,ZCTA5 53818,4873,294,42396,2842
